MSOA,pop0_17,pop18over
E02002483,2362,7970
E02002484,2400,8040
E02002485,1987,6178
E02002487,934,4240
E02002488,1145,4749
E02002489,1642,5996
E02002490,1269,4913
E02002491,1557,4893
E02002492,1497,5398
E02002493,1264,5458
E02002494,2059,5769
E02006909,1992,10124
E02002496,2695,10767
E02002497,1524,4348
E02002498,2474,7442
E02002499,2235,5118
E02002500,1449,4512
E02002501,1484,4172
E02002502,2268,6834
E02002503,1929,4845
E02002504,2405,7417
E02002505,1763,4314
E02002506,1489,4080
E02002507,1210,4742
E02002508,1008,4042
E02002509,1296,4021
E02002510,1114,4961
E02002512,913,4270
E02002513,2109,7247
E02002514,1674,6833
E02006811,2090,8191
E02002515,1295,5554
E02002516,1380,4463
E02002517,1184,4133
E02002518,2058,8734
E02002519,1633,5811
E02002520,2347,10681
E02002521,889,5171
E02002523,2069,4550
E02002524,1102,4354
E02002525,1374,6711
E02002526,1642,6132
E02002527,1150,3956
E02002529,1126,4707
E02002530,1163,5196
E02002532,1248,5559
E02002533,1282,5047
E02002534,833,4806
E02006812,1520,6031
E02006910,2312,8025
E02002535,1640,7615
E02002536,2171,7556
E02002537,2286,6293
E02002538,1321,4461
E02002539,1940,7767
E02002540,1018,4953
E02002541,1170,4886
E02002542,2227,5939
E02002543,2645,6588
E02002544,1791,7040
E02002545,827,4283
E02002546,1827,5533
E02002547,1064,5095
E02002548,3184,10797
E02002549,1284,6024
E02002550,1211,4932
E02002551,1354,5687
E02002552,1900,5341
E02002553,1424,4459
E02002554,1201,4035
E02002555,2205,7835
E02002556,1411,5591
E02002557,4791,11797
E02002558,2129,8891
E02002559,1975,7444
E02002560,1324,4776
E02002561,934,4296
E02002562,1100,4761
E02002563,1011,4352
E02002564,2296,7395
E02002565,940,4103
E02002566,1320,5619
E02002567,2289,6698
E02002568,1132,4830
E02002569,1558,7474
E02002570,1655,6092
E02002571,1652,4883
E02002572,1579,4793
E02002573,1868,7253
E02002574,1855,6883
E02002575,1950,7725
E02002576,1436,5929
E02002577,1832,5720
E02002578,1935,6546
E02002579,1964,5965
E02002580,1920,6237
E02002581,1328,5935
E02002582,1975,7089
E02002583,1998,5695
E02002584,1624,5679
E02002585,2143,8535
E02002586,2600,7364
E02002587,1596,4894
E02002588,1681,5610
E02002589,1008,5108
E02002590,1185,6012
E02002591,1256,5119
E02002592,1130,5141
E02002593,962,4001
E02002594,1100,4191
E02002595,2208,6077
E02002596,1414,6561
E02002597,2527,6757
E02002598,2698,7935
E02002599,2475,8640
E02002600,1834,7124
E02002601,1783,6950
E02002602,2194,6224
E02002603,1229,5550
E02002604,1316,6027
E02002605,1928,7075
E02002606,2399,9447
E02002607,2128,9432
E02002608,1371,6750
E02002609,2481,7232
E02002610,2936,9627
E02002611,1588,6199
E02002612,1828,7189
E02002613,1195,5334
E02002614,1012,4626
E02002615,2913,7555
E02002616,2661,6300
E02002617,2852,6393
E02002618,2309,5270
E02002619,2619,6500
E02002620,2276,6741
E02002621,2604,6003
E02002622,3394,7239
E02002623,2669,7782
E02002624,1516,6754
E02002625,2618,7123
E02002626,1687,5462
E02002627,1822,5824
E02002628,1378,5278
E02002629,1356,4310
E02002630,1424,4888
E02002631,1491,6929
E02002632,1064,5026
E02002633,1379,6250
E02002634,1382,6548
E02002635,1371,6527
E02002636,1785,6354
E02002637,1293,4726
E02002638,1069,4922
E02002639,1629,4476
E02002640,1851,5023
E02002641,1605,6324
E02002642,1410,5603
E02002643,1925,5603
E02002644,1574,6085
E02002645,1172,4760
E02002646,1434,5377
E02002647,1872,6011
E02002648,1743,5404
E02002649,1640,6403
E02002650,1488,6588
E02002651,1488,6287
E02002652,4375,10919
E02002653,2202,5676
E02002654,2793,5300
E02002655,2364,6279
E02002656,694,4221
E02002657,1429,5700
E02002658,1027,5207
E02002659,3005,7757
E02002660,1532,5134
E02002661,2022,6127
E02002662,1367,5444
E02002663,953,6323
E02002664,1381,5492
E02002665,1748,6125
E02002666,1227,7607
E02002667,1407,5680
