MSOA,18over1st_dose,18over2nd_dose
E02000001/E02000371,17494,15671
E02000002,4305,3965
E02000003,6422,5918
E02000004,4230,3966
E02000005,6024,5560
E02000007,5439,4950
E02000008,7356,6788
E02000009,6515,5960
E02000010,5365,4939
E02000011,4138,3844
E02000012,6652,6093
E02000013,5095,4659
E02000014,5652,5159
E02000015,4499,4102
E02000016,5567,4946
E02000017,5509,4932
E02000018,5142,4683
E02000019,5038,4612
E02000020,7536,6726
E02000021,4567,4122
E02000022,3857,3419
E02000023,4113,3659
E02000024,7773,7476
E02000025,5473,5220
E02000026,4496,4322
E02000027,6453,6114
E02000028,4478,4256
E02000029,5789,5515
E02000030,6899,6621
E02000031,6084,5843
E02000032,5548,5353
E02000033,5654,5384
E02000034,6202,5889
E02000035,6096,5804
E02000036,7446,6987
E02000037,7013,6670
E02000038,6987,6626
E02000039,5141,4909
E02000040,6062,5724
E02000041,6231,5819
E02000042,7727,7320
E02000043,5305,5104
E02000044,5561,5175
E02000045,6522,6142
E02000046,4880,4637
E02000047,7307,6702
E02000048,7096,6717
E02000049,5786,5248
E02000050,6674,6330
E02000051,6630,6276
E02000052,6513,6196
E02000053,10986,9991
E02000054,4895,4520
E02000055,7434,6890
E02000056,6573,6322
E02000057,4782,4469
E02000058,7000,6655
E02000059,7015,6489
E02000060,6738,6310
E02000061,6123,5748
E02000062,4401,3966
E02000063,5262,4819
E02000064,4332,3997
E02000065,4616,4159
E02000066,5527,5063
E02000067,6058,5595
E02000068,4568,4191
E02000069,4403,4153
E02000070,5704,5442
E02000071,5259,4948
E02000072,7049,6384
E02000073,7855,7556
E02000074,5560,5179
E02000075,5986,5767
E02000077,5640,5375
E02000078,5718,5461
E02000079,6113,5833
E02000080,6981,6669
E02000081,5777,5502
E02000082,6390,6128
E02000083,7221,6764
E02000084,7777,7487
E02000085,5456,5217
E02000086,5188,5017
E02000087,5941,5761
E02000088,5553,5365
E02000089,5736,5552
E02000090,6706,6453
E02000091,7274,7019
E02000092,4301,4048
E02000093,7461,6962
E02000094,6497,5981
E02000095,6868,6436
